iter	Logloss
442	0.3216622259
443	0.3216452006
444	0.3216304603
445	0.3216096602
446	0.3215928805
447	0.3215753033
448	0.3215610791
449	0.3215465912
450	0.321532002
451	0.3215125639
452	0.3214981427
453	0.3214827312
454	0.3214701401
455	0.3214554676
456	0.3214375487
457	0.3214181066
458	0.3214051707
459	0.3213916099
460	0.3213809978
461	0.3213660442
462	0.3213531756
463	0.3213366944
464	0.321324809
465	0.3213106828
466	0.3212943428
467	0.3212790615
468	0.3212680077
469	0.321252917
470	0.321242333
471	0.321231143
472	0.3212180178
473	0.3212083061
474	0.3212015594
475	0.3211891137
476	0.3211719676
477	0.3211596883
478	0.3211512768
479	0.3211385111
480	0.3211250905
481	0.32111131
482	0.321102159
483	0.3210913556
484	0.3210790488
485	0.3210628168
486	0.3210526319
487	0.3210402835
488	0.3210275622
489	0.3210149243
490	0.321005369
491	0.3209890424
492	0.3209806411
493	0.3209714624
494	0.3209617993
495	0.3209495593
496	0.3209394341
497	0.3209253793
498	0.3209154265
499	0.3209051244
